"scen_id","n","pi0","power","alpha","method","mean_fdp","exceed","H","delta_ecdf","tau","alpha_cqr","max_weight"
"L1",3,0.2,0.2,0.01,"BH",0,0,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.01,"Storey",0.02,0.02,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.01,"SCOUT_safe",0.03,0.03,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.01,"SCOUT_both",0.07,0.08,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.01,"SCOUT_confOnly",0.0883333333333333,0.11,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.05,"BH",0.0425,0.07,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.05,"Storey",0.0725,0.13,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.05,"SCOUT_safe",0.111166666666667,0.19,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.05,"SCOUT_both",0.160585886335886,0.5,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.05,"SCOUT_confOnly",0.175597322955682,0.55,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.1,"BH",0.0878730158730159,0.16,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.1,"Storey",0.134268401887967,0.3,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.1,"SCOUT_safe",0.184977754529612,0.44,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.1,"SCOUT_both",0.197283020509964,0.99,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L1",3,0.2,0.2,0.1,"SCOUT_confOnly",0.199060113575224,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L2",3,0.4,0.2,0.01,"BH",0,0,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L2",3,0.4,0.2,0.01,"Storey",0,0,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L2",3,0.4,0.2,0.01,"SCOUT_safe",0.01,0.01,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L2",3,0.4,0.2,0.01,"SCOUT_both",0.01,0.01,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L2",3,0.4,0.2,0.01,"SCOUT_confOnly",0.01,0.01,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L2",3,0.4,0.2,0.05,"BH",0.055,0.07,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L2",3,0.4,0.2,0.05,"Storey",0.0558333333333333,0.07,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L2",3,0.4,0.2,0.05,"SCOUT_safe",0.105928571428571,0.15,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L2",3,0.4,0.2,0.05,"SCOUT_both",0.188293650793651,0.3,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L2",3,0.4,0.2,0.05,"SCOUT_confOnly",0.20049025974026,0.31,"0.1,0.2,0.3",0.02,0.65,0.02,4
