"scen_id","n","pi0","power","alpha","method","mean_fdp","exceed","H","delta_ecdf","tau","alpha_cqr","max_weight"
"L1",3,0.2,0.2,0.01,"BH",0.02,0.02,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.01,"Storey",0.02,0.02,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.01,"SCOUT_safe",0.02,0.02,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.01,"SCOUT_both",0.0283333333333333,0.04,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.01,"SCOUT_confOnly",0.025,0.03,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.05,"BH",0.045,0.05,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.05,"Storey",0.0841666666666666,0.11,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.05,"SCOUT_safe",0.0866666666666667,0.12,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.05,"SCOUT_both",0.178611151361538,0.56,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.05,"SCOUT_confOnly",0.192394174643235,0.62,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.1,"BH",0.0743269230769231,0.14,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.1,"Storey",0.103229925303455,0.3,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.1,"SCOUT_safe",0.119015908927674,0.27,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.1,"SCOUT_both",0.207271035854028,0.98,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L1",3,0.2,0.2,0.1,"SCOUT_confOnly",0.207163900592933,0.99,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.01,"BH",0.00999999999999999,0.01,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.01,"Storey",0.00999999999999999,0.01,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.01,"SCOUT_safe",0.03,0.03,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.01,"SCOUT_both",0.0533333333333334,0.06,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.01,"SCOUT_confOnly",0.06,0.06,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.05,"BH",0.0583333333333333,0.07,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.05,"Storey",0.0783333333333333,0.09,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.05,"SCOUT_safe",0.12,0.13,"0.02,0.05,0.1",0.005,0.7,0.03,3
