"feature","importance","type"
"x9",0.000700770602564113,"scenario_weighted"
"x10",0.000180784937822016,"scenario_weighted"
"x9_05",0.0207424428747768,"scenario_weighted"
"x9_10",0.382917192245231,"scenario_weighted"
"x9_20",0.313655235162261,"scenario_weighted"
"A_lam60.A_lam60",0.0290571912978189,"scenario_weighted"
"A_lam70.A_lam70",0.00060760094776603,"scenario_weighted"
"A_range",1.15423513683141e-06,"scenario_weighted"
"F001.F001",0.0249976524684808,"scenario_weighted"
"F010.F010",0.0144008953587707,"scenario_weighted"
"F050.F050",0.0834556761159228,"scenario_weighted"
"F100.F100",0.108648390416189,"scenario_weighted"
"R0",0.00670363589026051,"scenario_weighted"
"Simes_min",3.46857490674785e-05,"scenario_weighted"
"KS",0.087287854883127,"scenario_weighted"
"HC",0.0162096448870078,"scenario_weighted"
"q01",0.0115278295939026,"scenario_weighted"
"q05",0.00505638488210249,"scenario_weighted"
"lnp_mean",0.00109239096125975,"scenario_weighted"
"lnp_med",0.025506183974179,"scenario_weighted"
"lnp_p90",0.0387244678150415,"scenario_weighted"
"m",9.26895624860111e-05,"scenario_weighted"
"enrichment_ratio",0.000361447164554521,"scenario_weighted"
"max_freq",0.00138790886647349,"scenario_weighted"
"A_07_subsample_sd",3.11609048046785e-05,"scenario_weighted"
"CP05",0.0212273520695754,"scenario_weighted"
"CP10",0.266538458632654,"scenario_weighted"
"CP20",0.441901679588121,"scenario_weighted"
"mean_p",0.518352472502147,"scenario_weighted"
"median_p",0.0518641594071498,"scenario_weighted"
"CvM",0.0878126613951047,"scenario_weighted"
"A_lam98",4.7126708109041e-05,"scenario_weighted"
